url_1,url_2,similarity
https://www.fortinet.com/resources/cyberglossary/what-is-network-security,https://www.fortinet.com/resources/cyberglossary/sd-wan-explained,1.0000001
https://www.fortinet.com/resources/cyberglossary/what-is-network-security,https://www.fortinet.com/solutions/enterprise-midsize-business/network-access/application-access,1.0000001
https://www.phriendlyphishing.com/blog,https://inspiredelearning.com/blog/phishing-protection-checklist/,0.80991524
https://en.wikipedia.org/wiki/SD-WAN,https://en.wikipedia.org/wiki/Remote_desktop_software,0.99999994
https://en.wikipedia.org/wiki/SD-WAN,https://en.wikipedia.org/wiki/Search_engine_optimization,0.99999994
https://en.wikipedia.org/wiki/SD-WAN,https://simple.wikipedia.org/wiki/Search_engine_optimization,0.84745324
https://en.wikipedia.org/wiki/SD-WAN,https://en.wikipedia.org/wiki/Content_marketing,0.99999994
https://en.wikipedia.org/wiki/SD-WAN,https://simple.wikipedia.org/wiki/Content_marketing,0.84745324
https://en.wikipedia.org/wiki/SD-WAN,https://en.wikipedia.org/wiki/Machine_learning,0.99999994
https://en.wikipedia.org/wiki/SD-WAN,https://simple.wikipedia.org/wiki/Machine_learning,0.84745324
https://en.wikipedia.org/wiki/SD-WAN,https://en.wikipedia.org/wiki/Artificial_intelligence,0.99999994
https://en.wikipedia.org/wiki/SD-WAN,https://simple.wikipedia.org/wiki/Artificial_intelligence,0.84745324
https://en.wikipedia.org/wiki/SD-WAN,https://en.wikipedia.org/wiki/Digital_marketing,0.99999994
https://en.wikipedia.org/wiki/SD-WAN,https://simple.wikipedia.org/wiki/Digital_marketing,0.84745324
https://www.fortinet.com/resources/cyberglossary/sd-wan-explained,https://www.fortinet.com/solutions/enterprise-midsize-business/network-access/application-access,1.0000001
https://en.wikipedia.org/wiki/Remote_desktop_software,https://en.wikipedia.org/wiki/Search_engine_optimization,0.99999994
https://en.wikipedia.org/wiki/Remote_desktop_software,https://simple.wikipedia.org/wiki/Search_engine_optimization,0.84745324
https://en.wikipedia.org/wiki/Remote_desktop_software,https://en.wikipedia.org/wiki/Content_marketing,0.99999994
https://en.wikipedia.org/wiki/Remote_desktop_software,https://simple.wikipedia.org/wiki/Content_marketing,0.84745324
https://en.wikipedia.org/wiki/Remote_desktop_software,https://en.wikipedia.org/wiki/Machine_learning,0.99999994
https://en.wikipedia.org/wiki/Remote_desktop_software,https://simple.wikipedia.org/wiki/Machine_learning,0.84745324
https://en.wikipedia.org/wiki/Remote_desktop_software,https://en.wikipedia.org/wiki/Artificial_intelligence,0.99999994
https://en.wikipedia.org/wiki/Remote_desktop_software,https://simple.wikipedia.org/wiki/Artificial_intelligence,0.84745324
https://en.wikipedia.org/wiki/Remote_desktop_software,https://en.wikipedia.org/wiki/Digital_marketing,0.99999994
https://en.wikipedia.org/wiki/Remote_desktop_software,https://simple.wikipedia.org/wiki/Digital_marketing,0.84745324
https://en.wikipedia.org/wiki/Search_engine_optimization,https://simple.wikipedia.org/wiki/Search_engine_optimization,0.84745324
https://en.wikipedia.org/wiki/Search_engine_optimization,https://en.wikipedia.org/wiki/Content_marketing,0.99999994
https://en.wikipedia.org/wiki/Search_engine_optimization,https://simple.wikipedia.org/wiki/Content_marketing,0.84745324
https://en.wikipedia.org/wiki/Search_engine_optimization,https://en.wikipedia.org/wiki/Machine_learning,0.99999994
https://en.wikipedia.org/wiki/Search_engine_optimization,https://simple.wikipedia.org/wiki/Machine_learning,0.84745324
https://en.wikipedia.org/wiki/Search_engine_optimization,https://en.wikipedia.org/wiki/Artificial_intelligence,0.99999994
https://en.wikipedia.org/wiki/Search_engine_optimization,https://simple.wikipedia.org/wiki/Artificial_intelligence,0.84745324
https://en.wikipedia.org/wiki/Search_engine_optimization,https://en.wikipedia.org/wiki/Digital_marketing,0.99999994
https://en.wikipedia.org/wiki/Search_engine_optimization,https://simple.wikipedia.org/wiki/Digital_marketing,0.84745324
https://simple.wikipedia.org/wiki/Search_engine_optimization,https://en.wikipedia.org/wiki/Content_marketing,0.84745324
https://simple.wikipedia.org/wiki/Search_engine_optimization,https://simple.wikipedia.org/wiki/Content_marketing,0.99999994
https://simple.wikipedia.org/wiki/Search_engine_optimization,https://en.wikipedia.org/wiki/Machine_learning,0.84745324
https://simple.wikipedia.org/wiki/Search_engine_optimization,https://simple.wikipedia.org/wiki/Machine_learning,0.99999994
https://simple.wikipedia.org/wiki/Search_engine_optimization,https://en.wikipedia.org/wiki/Artificial_intelligence,0.84745324
https://simple.wikipedia.org/wiki/Search_engine_optimization,https://simple.wikipedia.org/wiki/Artificial_intelligence,0.99999994
https://simple.wikipedia.org/wiki/Search_engine_optimization,https://en.wikipedia.org/wiki/Digital_marketing,0.84745324
https://simple.wikipedia.org/wiki/Search_engine_optimization,https://simple.wikipedia.org/wiki/Digital_marketing,0.99999994
https://en.wikipedia.org/wiki/Content_marketing,https://simple.wikipedia.org/wiki/Content_marketing,0.84745324
https://en.wikipedia.org/wiki/Content_marketing,https://en.wikipedia.org/wiki/Machine_learning,0.99999994
https://en.wikipedia.org/wiki/Content_marketing,https://simple.wikipedia.org/wiki/Machine_learning,0.84745324
https://en.wikipedia.org/wiki/Content_marketing,https://en.wikipedia.org/wiki/Artificial_intelligence,0.99999994
https://en.wikipedia.org/wiki/Content_marketing,https://simple.wikipedia.org/wiki/Artificial_intelligence,0.84745324
https://en.wikipedia.org/wiki/Content_marketing,https://en.wikipedia.org/wiki/Digital_marketing,0.99999994
https://en.wikipedia.org/wiki/Content_marketing,https://simple.wikipedia.org/wiki/Digital_marketing,0.84745324
https://simple.wikipedia.org/wiki/Content_marketing,https://en.wikipedia.org/wiki/Machine_learning,0.84745324
https://simple.wikipedia.org/wiki/Content_marketing,https://simple.wikipedia.org/wiki/Machine_learning,0.99999994
https://simple.wikipedia.org/wiki/Content_marketing,https://en.wikipedia.org/wiki/Artificial_intelligence,0.84745324
https://simple.wikipedia.org/wiki/Content_marketing,https://simple.wikipedia.org/wiki/Artificial_intelligence,0.99999994
https://simple.wikipedia.org/wiki/Content_marketing,https://en.wikipedia.org/wiki/Digital_marketing,0.84745324
https://simple.wikipedia.org/wiki/Content_marketing,https://simple.wikipedia.org/wiki/Digital_marketing,0.99999994
https://en.wikipedia.org/wiki/Machine_learning,https://simple.wikipedia.org/wiki/Machine_learning,0.84745324
https://en.wikipedia.org/wiki/Machine_learning,https://en.wikipedia.org/wiki/Artificial_intelligence,0.99999994
https://en.wikipedia.org/wiki/Machine_learning,https://simple.wikipedia.org/wiki/Artificial_intelligence,0.84745324
https://en.wikipedia.org/wiki/Machine_learning,https://en.wikipedia.org/wiki/Digital_marketing,0.99999994
https://en.wikipedia.org/wiki/Machine_learning,https://simple.wikipedia.org/wiki/Digital_marketing,0.84745324
https://simple.wikipedia.org/wiki/Machine_learning,https://en.wikipedia.org/wiki/Artificial_intelligence,0.84745324
https://simple.wikipedia.org/wiki/Machine_learning,https://simple.wikipedia.org/wiki/Artificial_intelligence,0.99999994
https://simple.wikipedia.org/wiki/Machine_learning,https://en.wikipedia.org/wiki/Digital_marketing,0.84745324
https://simple.wikipedia.org/wiki/Machine_learning,https://simple.wikipedia.org/wiki/Digital_marketing,0.99999994
https://en.wikipedia.org/wiki/Artificial_intelligence,https://simple.wikipedia.org/wiki/Artificial_intelligence,0.84745324
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Digital_marketing,0.99999994
https://en.wikipedia.org/wiki/Artificial_intelligence,https://simple.wikipedia.org/wiki/Digital_marketing,0.84745324
https://simple.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Digital_marketing,0.84745324
https://simple.wikipedia.org/wiki/Artificial_intelligence,https://simple.wikipedia.org/wiki/Digital_marketing,0.99999994
https://en.wikipedia.org/wiki/Digital_marketing,https://simple.wikipedia.org/wiki/Digital_marketing,0.84745324
